psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,SmartPhone,pial1,pial2,pial3,pial4,pial5,pial6,pial7,pial8,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
200047,2,21,3,S,1,2, ,2,2,2,2,2,2,2, ,2, ,2,2,1,68,6,2,1,6,2.47826086956522,.593174867534686
200048,2,42,1,U,1,1, ,1,1,1,1,1,1,2, ,1,3,3,2,2,24,6,2,2,6,5.82608695652174,1.39448126753768
200059,2,1,3,S,1,2, ,8,2,1,1,2,2,2, ,2, ,1,1,2,42,2,2,5,2,10.3913043478261,2.48717181299632
200061,2,36,1,S,1,1, ,1,1,1,1,1,2,1,1,1,1,3,2,2,22,6,2,1,2,5.34782608695652,1.28000892468011
200083,2,26,2,S,1,1, ,1,1,2,2,2,2,2, ,2, ,1,1,2,34,8,2,1,7,6.26086956521739,1.49854703377184
200084,2,51,3,U,1,1, ,1,1,1,1,2,1,1,3,2, ,3,2,1,24,6,2,1,2,4.04347826086957,.967811625977646
200096,2,19,2,U,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,1,65,5,2,1,7,2.08695652173913,.499515677923946
200097,2,12,3,U,2,2, ,2,2, , , , ,2, ,2, ,1,2,2,31,3,2,2,4,6.95652173913044,1.66505225974649
200112,2,21,3,U,1,1, ,8,2,1,2,2,2,2, ,2, ,1,2,1,67,4,2,2,9,2.30434782608696,.551548561041024
200117,2,39,2,U,2,2, ,2,2, , , , ,2, ,2, ,3,2,1,18,2,2,2,3,4.21739130434783,1.00943793247131
200120,2,27,2,R,1,1, ,1,1,1,1,1,1,2, ,2, ,2,2,1,25,4,2,1,99,5.39130434782609,1.29041550130353
200124,2,48,3,S,1,1, ,1,1,1,1,1,1,2, ,1,1,3,2,1,18,3,1,1,99,9.17391304347826,2.19578766754068
200138,2,19,2,U,1,2, ,2,2,2,2,2,2,2, ,2, ,1,2,1,58,6,2,1,6,1.21739130434783,.291384145455635
200152,2,28,3,R,1,1, ,1,1,2,2,2,2,2, ,2, ,2,1,1,59,4,2,1,6,4.30434782608696,1.03025108571814
200155,2,48,3,S,2,2, ,8,2, , , , ,2, ,2, ,1,1,1,34,2,1,6,3,8.04347826086957,1.92521667533188
200156,2,48,3,S,1,1, ,1,1,2,2,2,2,2, ,2, ,2,2,2,69,6,2,1,6,1.47826086956522,.353823605196129
200159,2,48,3,U,1,1, ,1,1,1,1,1,1,1,5,1,5,3,1,2,31,6,2,1,9,6.78260869565217,1.62342595325283
200164,2,37,3,R,2,2, ,2,2, , , , ,2, ,2, ,3,2,1,56,3,2,2,1,4.8695652173913,1.16553658182254
200168,2,29,2,R,2,2, ,2,2, , , , ,2, ,2, ,1,2,1,54,3,2,1,5,2.91304347826087,.697240633768842
200187,2,24,3,S,2,2, ,8,2, , , , ,2, ,2, ,3,2,2,76,4,2,2,3,3,.718053787015673
200190,2,13,3,S,1,2, ,1,1,2,2,2,2,2, ,2, ,1,2,1,67,8,2,1,7,2.47826086956522,.593174867534686
200197,2,42,1,S,1,1, ,2,2,2,2,2,2,2, ,2, ,1,2,1,74,3,2,1,4,4.73913043478261,1.13431685195229
200198,2,22,3,S,1,2, ,2,2,2,2,2,2,2, ,2, ,1,2,1,59,6,2,1,6,1.30434782608696,.312197298702466
200226,2,12,3,S,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,1,54,5,2,1,5,7.73913043478261,1.85237063896797
200238,2,34,1,S,2,1, ,2,2,2,2,2,2,2, ,2, ,3,2,2,51,3,2,1,4,9.08695652173913,2.17497451429385
200243,2,40,3,S,1,1, ,2,2,2,2,2,2,2, ,2, ,3,2,1,19,2,1,1,6,10.3913043478261,2.48717181299632
200246,2,1,3,R,1,1, ,1,1,1,1,1,1,1,6,2, ,2,2,1,21,3,2,1,7,5.69565217391304,1.36326153766744
200252,2,40,3,R,1,1, ,1,1,1,2,2,2,2, ,2, ,1,1,1,40,4,2,4,3,6.21739130434783,1.48814045714842
200256,2,6,4,U,1,1, ,1,1,1,2,1,2,2, ,2, ,3,1,2,37,6,2,1,9,8.56521739130435,2.05009559481286
200264,2,25,1,S,1,1, ,1,1,1,1,1,1,2, ,1,3,2,2,1,20,2,2,1,1,5.39130434782609,1.29041550130353
200265,2,8,4,S,1,1, ,1,1,1,2,2,2,2, ,2, ,1,2,1,28,6,2,1,3,4.04347826086957,.967811625977646
200277,2,12,3,S,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,2,25,4,2,2,7,9.04347826086957,2.16456793767043
200282,2,29,2,S,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,1,52,3,2,1,7,5.78260869565217,1.38407469091427
200290,2,35,4,R,2,2, ,2,2, , , , ,2, ,2, ,3,1,1,51,3,1,6,1,10.3913043478261,2.48717181299632
200291,2,13,3,S,1,2, ,2,2,1,2,2,2,2, ,2, ,3,2,2,61,3,2,1,7,5,1.19675631169279
